epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,87.97,0.62713,0.42899,0.82985,0.94899,0.83606,0.89686,0.7348,0.75051,0.43203,0.8476,0.000404375,0.000404375,0.000404375
43,89.7203,0.60364,0.42808,0.83356,0.96281,0.84487,0.89767,0.73399,0.74221,0.4329,0.84534,0.00038375,0.00038375,0.00038375
44,91.5405,0.60631,0.4151,0.83616,0.91924,0.87347,0.90049,0.73027,0.76632,0.43411,0.85247,0.000363125,0.000363125,0.000363125
45,93.3331,0.6104,0.41744,0.83266,0.92804,0.87248,0.90172,0.72142,0.80043,0.42946,0.85741,0.0003425,0.0003425,0.0003425
46,95.1834,0.66389,0.43155,0.84383,0.9129,0.88673,0.90129,0.71923,0.78908,0.43817,0.85202,0.000321875,0.000321875,0.000321875
47,97.2575,0.62908,0.41394,0.84301,0.90872,0.89536,0.90081,0.72327,0.76955,0.42427,0.84548,0.00030125,0.00030125,0.00030125
48,99.7711,0.5729,0.39403,0.83247,0.91155,0.89377,0.90125,0.71982,0.74446,0.41384,0.84002,0.000280625,0.000280625,0.000280625
49,101.603,0.6464,0.43324,0.84713,0.90946,0.89189,0.90218,0.72242,0.76299,0.41401,0.84685,0.00026,0.00026,0.00026
50,103.337,0.65357,0.45366,0.85655,0.93188,0.8738,0.90462,0.74379,0.77046,0.4268,0.84867,0.000239375,0.000239375,0.000239375
51,110.037,0.57328,0.41044,0.82935,0.95753,0.86856,0.90778,0.74681,0.77595,0.42742,0.85298,0.00021875,0.00021875,0.00021875
52,114.274,0.57178,0.40403,0.82443,0.97653,0.86297,0.90901,0.74374,0.75453,0.42902,0.84073,0.000198125,0.000198125,0.000198125
53,116.169,0.57342,0.39315,0.82402,0.96573,0.86525,0.90611,0.76759,0.70603,0.42907,0.82826,0.0001775,0.0001775,0.0001775
54,118.1,0.59446,0.39468,0.8323,0.9596,0.86671,0.90488,0.75617,0.69809,0.41273,0.8257,0.000156875,0.000156875,0.000156875
55,119.898,0.57078,0.38688,0.80905,0.95192,0.86776,0.90488,0.75678,0.71384,0.41476,0.82704,0.00013625,0.00013625,0.00013625
56,121.663,0.54054,0.38323,0.83288,0.94924,0.8693,0.90499,0.74234,0.73513,0.41113,0.83347,0.000115625,0.000115625,0.000115625
57,124.148,0.56271,0.39303,0.8055,0.94353,0.87055,0.90623,0.73811,0.75599,0.40939,0.84164,9.5e-05,9.5e-05,9.5e-05
58,126.414,0.53183,0.37633,0.82115,0.94321,0.87136,0.90702,0.7448,0.7748,0.40701,0.84703,7.4375e-05,7.4375e-05,7.4375e-05
59,128.172,0.54887,0.37087,0.83406,0.94623,0.8713,0.90906,0.75014,0.77306,0.4065,0.84742,5.375e-05,5.375e-05,5.375e-05
60,129.864,0.56695,0.38185,0.82757,0.94717,0.87231,0.90911,0.74968,0.77052,0.40643,0.84582,3.3125e-05,3.3125e-05,3.3125e-05
